;A11;A9_1_slice;A9_2_slice;A9_3_slice;A9_4_slice;A9_5_slice;A9_6_slice;A9_7_slice;A9_8_slice;A9_9_slice;A9_10_slice;A9_11_slice;A9_12_slice;A9_13_slice;A9_14_slice;A9_15_slice;A9_16_slice;A10_1_slice;A10_2_slice;A10_3_slice;A10_4_slice;A10_5_slice;A10_6_slice;A10_7_slice;A10_8_slice;A11_1_slice;A11_2_slice;A11_3_slice;A11_4_slice;A11_5_slice;A11_6_slice;A11_7_slice;A11_8_slice;A11_9_slice;A11_10_slice;A11_11_slice;A11_12_slice;A11_13_slice;cluster
784;1;1;1;1;1;3;1;2;1;1;2;1;3;3;1;1;3;1;1;4;1;1;4;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1
785;1;1;2;2;2;2;3;1;1;1;2;1;3;2;1;1;2;1;1;2;1;1;4;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1
786;1;2;3;3;3;1;2;2;2;2;3;1;3;4;1;1;2;2;2;3;2;1;3;2;2;1;1;1;2;2;1;2;2;3;2;2;2;2;0
787;1;1;2;3;3;2;3;1;1;1;2;1;2;4;2;1;2;1;1;3;2;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
788;1;2;2;2;2;3;2;1;3;2;1;1;3;2;2;3;2;1;1;2;2;1;3;2;2;2;2;1;3;2;3;2;2;3;2;3;2;1;0
789;1;2;3;3;3;4;3;3;3;1;3;3;3;4;2;3;3;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3
790;1;2;4;3;3;4;4;4;3;4;4;4;4;4;3;2;3;2;4;4;4;2;4;2;4;2;2;2;2;2;2;2;2;2;4;3;4;4;3
791;1;2;2;2;2;2;2;2;1;2;1;2;3;1;1;2;2;1;2;3;3;1;3;2;3;2;2;2;2;1;1;1;2;2;1;1;1;2;1
792;1;4;4;4;4;3;4;3;2;3;4;2;2;4;2;3;3;2;2;3;2;2;2;2;4;2;2;1;2;2;2;2;2;4;2;2;2;4;3
793;1;2;3;3;3;2;2;4;3;2;3;2;3;3;2;3;3;2;2;3;2;2;3;2;3;2;2;2;2;2;2;3;2;2;2;2;3;2;3
794;1;2;3;4;4;2;2;4;2;2;3;2;3;4;2;3;4;2;2;3;2;2;2;2;3;2;2;2;2;2;2;2;2;3;3;3;2;3;3
795;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2
