;A11;A12;A13;A14;A4;A5;A5bis;A8_1_slice;A8_2_slice;A8_3_slice;A8_4_slice;B1_1_slice;B1_2_slice;B2_1_slice;B2_2_slice;B3;B4;B6;C1_1_slice;C1_2_slice;C1_3_slice;C1_4_slice;C1_5_slice;C1_6_slice;C1_7_slice;C1_8_slice;C1_9_slice;cluster
3763;1;0;0;0;1;1.0;0.0;1;1;1;0;4;4;3;4;4;4;4;4;4;5;5;5;5;5;5;5;1
3764;1;0;0;0;1;2.0;0.0;3;1;1;0;4;4;4;3;3;1;4;4;4;5;5;5;5;4;5;4;1
3765;1;0;1;0;1;2.0;0.0;4;15;1;1;4;2;2;2;3;3;4;4;4;4;4;4;4;4;4;4;0
3766;1;1;1;0;1;2.0;0.0;3;2;1;0;3;3;3;3;3;3;2;3;4;3;3;4;3;3;3;3;0
3767;0;1;0;0;2;0.0;1.0;1;2;0;0;4;4;4;4;4;4;4;5;4;5;5;5;5;5;5;5;4
3768;1;0;0;0;1;3.0;0.0;3;2;1;0;2;2;3;3;2;1;4;3;4;5;5;5;5;4;4;3;0
3769;0;1;0;0;2;0.0;1.0;3;4;2;2;3;3;3;3;3;4;4;4;5;4;4;4;5;4;4;4;4
3770;1;0;1;0;1;2.0;0.0;2;5;2;1;4;3;2;3;2;2;1;2;2;2;3;3;3;2;2;2;3
3771;1;0;0;0;1;1.0;0.0;2;2;2;0;4;4;4;4;2;2;4;4;5;5;5;5;5;5;4;5;1
3772;1;0;0;0;1;2.0;0.0;2;2;2;2;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1
3773;1;0;1;0;1;2.0;0.0;1;3;1;0;3;2;4;4;3;4;4;4;3;5;5;5;5;5;5;5;1
3774;1;0;0;0;1;2.0;0.0;3;8;3;0;1;3;4;4;4;3;4;5;5;5;5;5;5;5;5;5;1
3775;1;0;0;0;1;2.0;0.0;4;4;3;1;3;3;3;3;3;2;4;3;4;4;5;5;5;4;4;4;0
3776;0;1;0;0;2;0.0;1.0;1;1;1;0;4;4;4;4;4;4;3;5;5;5;5;5;5;5;5;5;4
3777;1;0;1;0;1;1.0;0.0;10;10;5;1;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3
3778;1;0;0;0;1;1.0;0.0;1;1;1;1;4;4;4;3;4;4;4;4;5;5;5;5;5;5;5;5;1
3779;1;0;1;0;1;1.0;0.0;2;2;2;1;4;4;3;3;4;3;4;4;4;5;5;5;5;5;4;4;1
3780;1;0;0;0;1;1.0;0.0;2;3;2;1;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1
3781;1;0;0;0;1;3.0;0.0;4;6;8;3;1;3;3;3;3;2;2;5;4;5;5;5;5;5;4;5;0
3782;1;0;1;0;1;1.0;0.0;1;1;1;0;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;1
3783;1;0;1;0;1;1.0;0.0;5;6;1;0;4;4;4;4;3;3;2;4;4;5;5;5;5;4;4;4;1
